name,price,description,category,stock,url
a light in the attic,51.77,"it's hard to imagine a world without a light in the attic. this now-classic collection of poetry and drawings from shel silverstein celebrates its 20th anniversary with this special edition. silverstein's humorous and creative verse can amuse the dowdiest of readers. lemon-faced adults and fidgety kids sit still and read these rhythmic words and laugh and smile and love th it's hard to imagine a world without a light in the attic. this now-classic collection of poetry and drawings from shel silverstein celebrates its 20th anniversary with this special edition. silverstein's humorous and creative verse can amuse the dowdiest of readers. lemon-faced adults and fidgety kids sit still and read these rhythmic words and laugh and smile and love that silverstein. need proof of his genius? rockabyerockabye baby, in the treetopdon't you know a treetopis no safe place to rock?and who put you up there,and your cradle, too?baby, i think someone down here'sgot it in for you. shel, you never sounded so good. ...more",poetry,In stock,https://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html
tipping the velvet,53.74,"""erotic and absorbing...written with starling power.""--""the new york times book review "" nan king, an oyster girl, is captivated by the music hall phenomenon kitty butler, a male impersonator extraordinaire treading the boards in canterbury. through a friend at the box office, nan manages to visit all her shows and finally meet her heroine. soon after, she becomes kitty's ""erotic and absorbing...written with starling power.""--""the new york times book review "" nan king, an oyster girl, is captivated by the music hall phenomenon kitty butler, a male impersonator extraordinaire treading the boards in canterbury. through a friend at the box office, nan manages to visit all her shows and finally meet her heroine. soon after, she becomes kitty's dresser and the two head for the bright lights of leicester square where they begin a glittering career as music-hall stars in an all-singing and dancing double act. at the same time, behind closed doors, they admit their attraction to each other and their affair begins. ...more",historical fiction,In stock,https://books.toscrape.com/catalogue/tipping-the-velvet_999/index.html
soumission,50.1,"dans une france assez proche de la nôtre, un homme s’engage dans la carrière universitaire. peu motivé par l’enseignement, il s’attend à une vie ennuyeuse mais calme, protégée des grands drames historiques. cependant les forces en jeu dans le pays ont fissuré le système politique jusqu’à provoquer son effondrement. cette implosion sans soubresauts, sans vraie révolution, s dans une france assez proche de la nôtre, un homme s’engage dans la carrière universitaire. peu motivé par l’enseignement, il s’attend à une vie ennuyeuse mais calme, protégée des grands drames historiques. cependant les forces en jeu dans le pays ont fissuré le système politique jusqu’à provoquer son effondrement. cette implosion sans soubresauts, sans vraie révolution, se développe comme un mauvais rêve.le talent de l’auteur, sa force visionnaire nous entraînent sur un terrain ambigu et glissant ; son regard sur notre civilisation vieillissante fait coexister dans ce roman les intuitions poétiques, les effets comiques, une mélancolie fataliste.ce livre est une saisissante fable politique et morale. ...more",fiction,In stock,https://books.toscrape.com/catalogue/soumission_998/index.html
sharp objects,47.82,"wicked above her hipbone, girl across her heart words are like a road map to reporter camille preaker’s troubled past. fresh from a brief stay at a psych hospital, camille’s first assignment from the second-rate daily paper where she works brings her reluctantly back to her hometown to cover the murders of two preteen girls. nasty on her kneecap, babydoll on her leg since wicked above her hipbone, girl across her heart words are like a road map to reporter camille preaker’s troubled past. fresh from a brief stay at a psych hospital, camille’s first assignment from the second-rate daily paper where she works brings her reluctantly back to her hometown to cover the murders of two preteen girls. nasty on her kneecap, babydoll on her leg since she left town eight years ago, camille has hardly spoken to her neurotic, hypochondriac mother or to the half-sister she barely knows: a beautiful thirteen-year-old with an eerie grip on the town. now, installed again in her family’s victorian mansion, camille is haunted by the childhood tragedy she has spent her whole life trying to cut from her memory. harmful on her wrist, whore on her ankle as camille works to uncover the truth about these violent crimes, she finds herself identifying with the young victims—a bit too strongly. clues keep leading to dead ends, forcing camille to unravel the psychological puzzle of her own past to get at the story. dogged by her own demons, camille will have to confront what happened to her years before if she wants to survive this homecoming.with its taut, crafted writing, sharp objects is addictive, haunting, and unforgettable. ...more",mystery,In stock,https://books.toscrape.com/catalogue/sharp-objects_997/index.html
sapiens: a brief history of humankind,54.23,"from a renowned historian comes a groundbreaking narrative of humanity’s creation and evolution—a #1 international bestseller—that explores the ways in which biology and history have defined us and enhanced our understanding of what it means to be “human.”one hundred thousand years ago, at least six different species of humans inhabited earth. yet today there is only one—h from a renowned historian comes a groundbreaking narrative of humanity’s creation and evolution—a #1 international bestseller—that explores the ways in which biology and history have defined us and enhanced our understanding of what it means to be “human.”one hundred thousand years ago, at least six different species of humans inhabited earth. yet today there is only one—homo sapiens. what happened to the others? and what may happen to us?most books about the history of humanity pursue either a historical or a biological approach, but dr. yuval noah harari breaks the mold with this highly original book that begins about 70,000 years ago with the appearance of modern cognition. from examining the role evolving humans have played in the global ecosystem to charting the rise of empires, sapiens integrates history and science to reconsider accepted narratives, connect past developments with contemporary concerns, and examine specific events within the context of larger ideas.dr. harari also compels us to look ahead, because over the last few decades humans have begun to bend laws of natural selection that have governed life for the past four billion years. we are acquiring the ability to design not only the world around us, but also ourselves. where is this leading us, and what do we want to become?featuring 27 photographs, 6 maps, and 25 illustrations/diagrams, this provocative and insightful work is sure to spark debate and is essential reading for aficionados of jared diamond, james gleick, matt ridley, robert wright, and sharon moalem. ...more",history,In stock,https://books.toscrape.com/catalogue/sapiens-a-brief-history-of-humankind_996/index.html
the requiem red,22.65,"patient twenty-nine.a monster roams the halls of soothing hills asylum. three girls dead. 29 is endowed with the curse…or gift of perception. she hears messages in music, sees lyrics in paintings. and the corn. a lifetime asylum resident, the orchestral corn music is the only constant in her life.mason, a new, kind orderly, sees 29 as a woman, not a lunatic. and as his bel patient twenty-nine.a monster roams the halls of soothing hills asylum. three girls dead. 29 is endowed with the curse…or gift of perception. she hears messages in music, sees lyrics in paintings. and the corn. a lifetime asylum resident, the orchestral corn music is the only constant in her life.mason, a new, kind orderly, sees 29 as a woman, not a lunatic. and as his belief in her grows, so does her self- confidence. that perhaps she might escape, might see the outside world. but the monster has other plans. the missing girls share one common thread...each was twenty-nine's cell mate. will she be next? ...more",young adult,In stock,https://books.toscrape.com/catalogue/the-requiem-red_995/index.html
the dirty little secrets of getting your dream job,33.34,"drawing on his extensive experience evaluating applicants for his marketing agency, and featuring stories based on real-life situations, sample cover letters, resumes, and straightforward advice, don raskin’s the dirty little secrets of getting your dream job offers all the necessary tools for navigating the tough job market and securing your dream job.don raskin owns and drawing on his extensive experience evaluating applicants for his marketing agency, and featuring stories based on real-life situations, sample cover letters, resumes, and straightforward advice, don raskin’s the dirty little secrets of getting your dream job offers all the necessary tools for navigating the tough job market and securing your dream job.don raskin owns and operates mme, an advertising and marketing agency in new york city. during his twenty-five years at the agency he has interviewed hundreds of new college graduates for positions within his agency and has placed a strong emphasis on entry-level recruitment for positions in creative, account management, traffic, and production. raskin has also mentored countless students and their parents on best practices for the job search. over the years, raskin has kept exceptionally detailed notes on the interviews he has conducted, observing the good, the bad, the ridiculous, the irreverent. he also has a treasure trove of over-the-top cover letters, resumes, interviews, and post interview follow-ups he has conducted and received. now, he wants to share all the wisdom and insider secrets he has gathered to help students and first-time job seekers find a job in this economy.based on his remarkable expertise, raskin's book provides exclusive insight into the job search process and lets readers in on all of the dirty little secrets to landing their first job—or a new one—and finding career success. ...more",business,In stock,https://books.toscrape.com/catalogue/the-dirty-little-secrets-of-getting-your-dream-job_994/index.html
"the coming woman: a novel based on the life of the infamous feminist, victoria woodhull",17.93,"""if you have a heart, if you have a soul, karen hicks' the coming woman will make you fall in love with victoria woodhull.""-kinky friedman, author and governor of the heart of texas ""what kind of confidence would it take for a woman to buck the old boy's club of politics in 1872? more than 140 years pre-hillary, there was victoria woodhull. this book takes you back with a ""if you have a heart, if you have a soul, karen hicks' the coming woman will make you fall in love with victoria woodhull.""-kinky friedman, author and governor of the heart of texas ""what kind of confidence would it take for a woman to buck the old boy's club of politics in 1872? more than 140 years pre-hillary, there was victoria woodhull. this book takes you back with a breathtaking, present-tense bird's eye view into a time when women's liberation was primarily confined to one woman's very capable, independent mind. i couldn't put it down.""---ruth buzzi, golden globe award winner and television hall of fame inductee""sadly, too many americans have never heard of victoria woodhull, let alone learned of her story: her revolutionary campaign for the presidency at a time when women weren't even allowed to vote, her support for worker's rights, or her feminist commitment to equality, a century before the official battle over the equal rights amendment. but in the coming woman, karen hicks brings woodhull's efforts to life, and reminds us that some of our nation's greatest figures aren't always featured in the history books. it is a riveting account of an amazing woman and her struggle for justice and human dignity, told in an engaging and eminently readable style.""-tim wise, author, ""white like me: reflections on race from a privileged son""""the coming woman"" is a novel based on the life of feminist victoria woodhull, the first woman to run for u.s. president, 50 years before women could even vote!running for president wasn't victoria's only first as a woman. she was also the first to own a successful wall street firm, the first to publish a successful national newspaper, and the first to head the two-million-member spiritualist association. she was the first woman to enter the senate judiciary committee chambers to petition for woman's suffrage, her argument changing the entire focus of the suffragist movement by pointing out that the 14th and 15th amendments already gave women the vote.in her campaign for the presidency, victoria woodhull boldly addressed many of the issues we still face today: equal pay for equal work; freedom in love; corporate greed and political corruption fueled by powerful lobbyists; and the increasing disparity between the rich and the poor, to name only a few. her outspoken and common-sense ideas may shed a new perspective on the parallel conundrums of today's world.this bold, beautiful, and sexually progressive woman dared to take on society and religion. to make an example of the hypocrisy in what mark twain dubbed the gilded age, she exposed the extramarital affairs of the most popular religious figure of the day (henry ward beecher). this led to her persecution and imprisonment and the longest, most infamous trial of the 19th century. but it did not stop her fight for equality.victoria's epic story, set in the late 1800s, comes to life in a modern, fictional style, while staying true to the actual words and views of the many well-known characters. ...more",default,In stock,https://books.toscrape.com/catalogue/the-coming-woman-a-novel-based-on-the-life-of-the-infamous-feminist-victoria-woodhull_993/index.html
the boys in the boat: nine americans and their epic quest for gold at the 1936 berlin olympics,22.6,"for readers of laura hillenbrand's seabiscuit and unbroken, the dramatic story of the american rowing team that stunned the world at hitler's 1936 berlin olympics daniel james brown’s robust book tells the story of the university of washington’s 1936 eight-oar crew and their epic quest for an olympic gold medal, a team that transformed the sport and grabbed the attention o for readers of laura hillenbrand's seabiscuit and unbroken, the dramatic story of the american rowing team that stunned the world at hitler's 1936 berlin olympics daniel james brown’s robust book tells the story of the university of washington’s 1936 eight-oar crew and their epic quest for an olympic gold medal, a team that transformed the sport and grabbed the attention of millions of americans. the sons of loggers, shipyard workers, and farmers, the boys defeated elite rivals first from eastern and british universities and finally the german crew rowing for adolf hitler in the olympic games in berlin, 1936. the emotional heart of the story lies with one rower, joe rantz, a teenager without family or prospects, who rows not for glory, but to regain his shattered self-regard and to find a place he can call home. the crew is assembled  by an enigmatic coach and mentored by a visionary, eccentric british boat builder, but it is their trust in each other that makes them a victorious team. they remind the country of what can be done when everyone quite literally pulls together—a perfect melding of commitment, determination, and optimism. drawing on the boys’ own diaries and journals, their photos and memories of a once-in-a-lifetime shared dream, the boys in the boat is an irresistible story about beating the odds and finding hope in the most desperate of times—the improbable, intimate story of nine working-class boys from the american west who, in the depths of the great depression, showed the world what true grit really meant. it will appeal to readers of erik larson, timothy egan, james bradley, and david halberstam's the amateurs. ...more",default,In stock,https://books.toscrape.com/catalogue/the-boys-in-the-boat-nine-americans-and-their-epic-quest-for-gold-at-the-1936-berlin-olympics_992/index.html
the black maria,52.15,"praise for aracelis girmay:""[girmay's] every loss—she calls them estrangements—is a yearning for connection across time and place; her every fragment is a bulwark against ruin."" — o, the oprah magazine ""in aracelis girmay we have a poet who collects, polishes, and shares stories with such brilliant invention, tenderness, and intellectual liveliness that it is understandabl praise for aracelis girmay:""[girmay's] every loss—she calls them estrangements—is a yearning for connection across time and place; her every fragment is a bulwark against ruin."" — o, the oprah magazine ""in aracelis girmay we have a poet who collects, polishes, and shares stories with such brilliant invention, tenderness, and intellectual liveliness that it is understandable that we think of her as the blessed curator of our collective histories. there is in her art the vulnerability of one who lives inside of the stories that she gathers in this remarkable collection. her poems set off alarms even as they transform the world she inhabits, showing us, in the process, exactly what she asks of romare bearden’s art: ‘…how not to // assign all blackness near the sea / a captivity.’ this is one of the many sweet contradictions in the black maria, which ‘is a black flag / wounding the pastoral.’ i am deeply thankful that we have a poet of her unique and singular talent writing today."" —kwame dawestaking its name from the moon's dark plains, misidentified as seas by early astronomers, the black maria investigates african diasporic histories, the consequences of racism within american culture, and the question of human identity. central to this project is a desire to recognize the lives of eritrean refugees who have been made invisible by years of immigration crisis, refugee status, exile, and resulting statelessness. the recipient of a 2015 whiting award for poetry, girmay's newest collection elegizes and celebrates life, while wrestling with the humanistic notion of seeing beyond: seeing violence, seeing grace, and seeing each other better.""to the sea""great storage house, historyon which we rode, we touchedthe brief pulse of your flutteringpages, spelled with salt & life,your rage, your indifferenceyour gentleness washing our feet,all of you going onwhether or not we live,to you we bring our carnationsyellow & pink, how they floatlike bright sentences atopyour memory's dark hairaracelis girmay is the author of three poetry collections, the black maria; kingdom animalia, which won the isabella gardner award and was a finalist for the nbcc award; and teeth. the recipient of a 2015 whiting award, she has received grants and fellowships from the jerome, cave canem, and watson foundations, as well as civitella ranieri and the nea. she currently teaches at hampshire college's school for interdisciplinary arts and in drew university's low residency mfa program. originally from santa ana, california, she splits her time between new york and amherst, massachusetts. ...more",poetry,In stock,https://books.toscrape.com/catalogue/the-black-maria_991/index.html
"starving hearts (triangular trade trilogy, #1)",13.99,"since her assault, miss annette chetwynd has been plagued by nightmares and worries about an arranged marriage. but she yearns to find her anonymous rescuer. unfortunately, her health and intellect prevent it. both repel suitors and cause annette to doubt god's existence, at least until he answers her prayers in an unusual way ... mr. peter adsley is joining the clergy, an since her assault, miss annette chetwynd has been plagued by nightmares and worries about an arranged marriage. but she yearns to find her anonymous rescuer. unfortunately, her health and intellect prevent it. both repel suitors and cause annette to doubt god's existence, at least until he answers her prayers in an unusual way ... mr. peter adsley is joining the clergy, and he desires a godly wife by his side. after his failed attempt to obtain one, he engages in a clandestine meeting with the bewitching young woman who keeps crossing his path. but she is so unsettling. destined for disappointments, peter and annette endure disgraceful situations. will peter's faith sustain him through overwhelming setbacks? can annette overcome her doubts? or will their starving hearts yield to the machinations of a mad man? ...more",default,In stock,https://books.toscrape.com/catalogue/starving-hearts-triangular-trade-trilogy-1_990/index.html
shakespeare's sonnets,20.66,"this book is an important and complete collection of the sonnets of william shakespeare. most readers are aware of the great plays and manuscripts written for the stage, but are unaware of the magnificent sonnets which were written around the same period. this is an excellent, complete collection of the sonnets and poetry of william shakespeare and should not be missed by this book is an important and complete collection of the sonnets of william shakespeare. most readers are aware of the great plays and manuscripts written for the stage, but are unaware of the magnificent sonnets which were written around the same period. this is an excellent, complete collection of the sonnets and poetry of william shakespeare and should not be missed by those interested in the completion of a collection of his writings and those interested in early poetic works. ...more",poetry,In stock,https://books.toscrape.com/catalogue/shakespeares-sonnets_989/index.html
set me free,17.46,"aaron ledbetter’s future had been planned out for him since before he was born. each year, the ledbetter family vacation on tybee island gave aaron a chance to briefly free himself from his family’s expectations. when he meets jonas “lucky” luckett, a caricature artist in town with the traveling carnival, he must choose between the life that’s been mapped out for him, and aaron ledbetter’s future had been planned out for him since before he was born. each year, the ledbetter family vacation on tybee island gave aaron a chance to briefly free himself from his family’s expectations. when he meets jonas “lucky” luckett, a caricature artist in town with the traveling carnival, he must choose between the life that’s been mapped out for him, and the chance at true love. ...more",young adult,In stock,https://books.toscrape.com/catalogue/set-me-free_988/index.html
scott pilgrim's precious little life (scott pilgrim #1),52.29,"scott pilgrim's life is totally sweet. he's 23 years old, he's in a rockband, he's ""between jobs"" and he's dating a cute high school girl. nothing could possibly go wrong, unless a seriously mind-blowing, dangerously fashionable, rollerblading delivery girl named ramona flowers starts cruising through his dreams and sailing by him at parties. will scott's awesome life get scott pilgrim's life is totally sweet. he's 23 years old, he's in a rockband, he's ""between jobs"" and he's dating a cute high school girl. nothing could possibly go wrong, unless a seriously mind-blowing, dangerously fashionable, rollerblading delivery girl named ramona flowers starts cruising through his dreams and sailing by him at parties. will scott's awesome life get turned upside-down? will he have to face ramona's seven evil ex-boyfriends in battle? the short answer is yes. the long answer is scott pilgrim, volume 1: scott pilgrim's precious little life ...more",sequential art,In stock,https://books.toscrape.com/catalogue/scott-pilgrims-precious-little-life-scott-pilgrim-1_987/index.html
rip it up and start again,35.02,"punk's raw power rejuvenated rock, but by the summer of 1977 the movement had become a parody of itself. rip it up and start again is a celebration of what happened next.post-punk bands like pil, joy division, talking heads, the fall and the human league dedicated themselves to fulfilling punk's unfinished musical revolution. the post-punk groups were fervent modernists; w punk's raw power rejuvenated rock, but by the summer of 1977 the movement had become a parody of itself. rip it up and start again is a celebration of what happened next.post-punk bands like pil, joy division, talking heads, the fall and the human league dedicated themselves to fulfilling punk's unfinished musical revolution. the post-punk groups were fervent modernists; whether experimenting with electronics and machine rhythm or adapting ideas from dub reggae and disco, they were totally confident they could invent a whole new future for music. ...more",music,In stock,https://books.toscrape.com/catalogue/rip-it-up-and-start-again_986/index.html
"our band could be your life: scenes from the american indie underground, 1981-1991",57.25,"this is the never-before-told story of the musical revolution that happened right under the nose of the reagan eighties--when a small but sprawling network of bands, labels, fanzines, radio stations, and other subversives reenergized american rock with punk rock's do-it-yourself credo and created music that was deeply personal, often brilliant, always challenging, and imme this is the never-before-told story of the musical revolution that happened right under the nose of the reagan eighties--when a small but sprawling network of bands, labels, fanzines, radio stations, and other subversives reenergized american rock with punk rock's do-it-yourself credo and created music that was deeply personal, often brilliant, always challenging, and immensely influential. this sweeping chronicle of music, politics, drugs, fear, loathing, and faith has been recognized as an indie rock classic in its own right. among the bands profiled: mission of burma, butthole surfers, the minutemen, sonic youth, black flag, big black, hüsker dü, fugazi, minor threat, mudhoney, the replacements, beat happening, and dinosaur jr. ...more",music,In stock,https://books.toscrape.com/catalogue/our-band-could-be-your-life-scenes-from-the-american-indie-underground-1981-1991_985/index.html
olio,23.88,"part fact, part fiction, tyehimba jess's much anticipated second book weaves sonnet, song, and narrative to examine the lives of mostly unrecorded african american performers directly before and after the civil war up to world war i. olio is an effort to understand how they met, resisted, complicated, co-opted, and sometimes defeated attempts to minstrelize them.so, while part fact, part fiction, tyehimba jess's much anticipated second book weaves sonnet, song, and narrative to examine the lives of mostly unrecorded african american performers directly before and after the civil war up to world war i. olio is an effort to understand how they met, resisted, complicated, co-opted, and sometimes defeated attempts to minstrelize them.so, while i lead this choir, i still find thati'm being led…i'm a missionarymending my faith in the midst of this flock…i toil in their fields of praise. when folks seethese freedmen stand and sing, they hear their godspeak in tongues. these nine dark mouths sing shelter;they echo a hymn's haven from slavery's weather.detroit native tyehimba jess' first book of poetry, leadbelly, was a winner of the 2004 national poetry series. jess, a cave canem and nyu alumni, has received fellowships from the whiting foundation, national endowment for the arts, illinois arts council, and the provincetown fine arts work center. jess is also a veteran of the 2000 and 2001 green mill poetry slam team. he exhibited his poetry at the 2011 tedxnashville conference. jess is an associate professor of english at college of staten island. ...more",poetry,In stock,https://books.toscrape.com/catalogue/olio_984/index.html
mesaerion: the best science fiction stories 1800-1849,37.59,"andrew barger, award-winning author and engineer, has extensively researched forgotten journals and magazines of the early 19th century to locate groundbreaking science fiction short stories in the english language. in doing so, he found what is possibly the first science fiction story by a female (and it is not from mary shelley). andrew located the first steampunk short andrew barger, award-winning author and engineer, has extensively researched forgotten journals and magazines of the early 19th century to locate groundbreaking science fiction short stories in the english language. in doing so, he found what is possibly the first science fiction story by a female (and it is not from mary shelley). andrew located the first steampunk short story, which has not been republished since 1844. there is the first voyage to the moon in a balloon, republished for the first time since 1820 that further tells of a darkness machine and a lunarian named zuloc. other sci-stories include the first robotic insect and an electricity gun. once again, andrew has searched old texts to find the very best science fiction stories from the period when the genre automated to life, some of the stories are published for the first time in nearly 200 years. read these fantastic stories today!our own country so mechanical has the age become, that men seriously talk of flying machines, to go by steam, --not your air-balloons, but real daedalian wings, made of wood and joints, nailed to your shoulder, --not wings of feathers and wax like the wings of icarus, who fell into the cretan sea, but real, solid, substantial, rock-maple wings with wrought-iron hinges, and huge concavities, to propel us through the air. knickerbocker magazine, may 18 ...more",science fiction,In stock,https://books.toscrape.com/catalogue/mesaerion-the-best-science-fiction-stories-1800-1849_983/index.html
libertarianism for beginners,51.33,"libertarianism isn't about winning elections; it is first and foremost a political philosophy--a description of how, in the opinion of libertarians, free people ought to treat one another, at least when they use the law, which they regard as potentially dangerous. if libertarians are correct, the law should intrude into people's lives as little as possible, rarely telling libertarianism isn't about winning elections; it is first and foremost a political philosophy--a description of how, in the opinion of libertarians, free people ought to treat one another, at least when they use the law, which they regard as potentially dangerous. if libertarians are correct, the law should intrude into people's lives as little as possible, rarely telling them what to do or how to live.a political and economic philosophy as old as john locke and john stuart mill, but as alive and timely as rand paul, the tea party, and the novels of ayn rand, libertarianism emphasizes individual rights and calls for a radical reduction in the power and size of government. ""libertarianism for beginners"" lays out the history and principles of this often-misunderstood philosophy in lucid, dispassionate terms that help illuminate today's political dialogue."" ...more",politics,In stock,https://books.toscrape.com/catalogue/libertarianism-for-beginners_982/index.html
it's only the himalayas,45.17,"“wherever you go, whatever you do, just . . . don’t do anything stupid.” —my motherduring her yearlong adventure backpacking from south africa to singapore, s. bedford definitely did a few things her mother might classify as ""stupid."" she swam with great white sharks in south africa, ran from lions in zimbabwe, climbed a himalayan mountain without training in nepal, and wa “wherever you go, whatever you do, just . . . don’t do anything stupid.” —my motherduring her yearlong adventure backpacking from south africa to singapore, s. bedford definitely did a few things her mother might classify as ""stupid."" she swam with great white sharks in south africa, ran from lions in zimbabwe, climbed a himalayan mountain without training in nepal, and watched as her friend was attacked by a monkey in indonesia.but interspersed in those slightly more crazy moments, sue bedfored and her friend ""sara the stoic"" experienced the sights, sounds, life, and culture of fifteen countries. joined along the way by a few friends and their aging fathers here and there, sue and sara experience the trip of a lifetime. they fall in love with the world, cultivate an appreciation for home, and discover who, or what, they want to become.it's only the himalayas is the incredibly funny, sometimes outlandish, always entertaining confession of a young backpacker that will inspire you to take your own adventure. ...more",travel,In stock,https://books.toscrape.com/catalogue/its-only-the-himalayas_981/index.html
